manufacturer,product_name,model_number,optical_zoom,weight_g,price_usd,meets_criteria,near_miss,near_miss_reason,has_thermal,has_night_vision,gimbal_axes,sensor_size,megapixels,max_video_resolution,product_url,notes,country_of_origin,digital_zoom_max,total_zoom_combined,sensor_type,max_photo_resolution,dimensions_mm,power_consumption_w,voltage_input,stabilization_range_pitch,stabilization_range_yaw,stabilization_range_roll,output_interface,control_protocol,compatible_drones,ip_rating,price_source,availability,notable_features
GWD Bio-intelligence (Shenzhen ViewPro Technology),GWD Q10T,Q10T,10x,415,,True,False,,False,False,3,"1/3""",2.48,1920x1080 @ 30fps (1080P),https://gwdbi.com/products/gwd-q10t-ethernet-output-tcp-control-1080p-high-range-sports-uav-zoom-gimbal-camera-3-axis-drone-object-auto-tracking-camera,,China,,10x (optical only confirmed),Panasonic CMOS,1920x1080,140 x 91.2 x 126.1,3.85,"3S-4S (12V nominal), output 5V for PWM",unknown,360 degrees continuous,unknown,"HDMI, IP (Ethernet), SDI","UART (TTL), TCP/UDP (Ethernet)","Small drones, quadcopters, VTOL, fixed-wing UAV",,"Not publicly listed on gwdbi.com; Alibaba lists $2,100-$3,100 for bulk. Austars-Model lists Q10T at varying prices. Note: product may be discontinued (ViewPro lists as 'stop production')",Potentially discontinued; check gwdbi.com or Alibaba for current availability,Ultra-lightweight (415g); 10x optical zoom; Auto-tracking function; Fast autofocus (<1s); Low power consumption (3.85W); GPS photo geotagging support; Good low-light performance (wide dynamic range); OSD overlay; 1080P recording with TF card
JOUAV,JOUAV MG-120E EO/IR Gimbal Camera,MG-120E,30x,,,False,False,"Cannot determine without confirmed weight and price data. Based on product class (30x+thermal+LRF), likely fails both weight and price criteria.",True,True,3,,,,https://www.jouav.com/products/mg120.html,Described as 'lightweight and small' but exact weight not publicly available; a technical specification PDF exists on Scribd but content was not accessible. Estimated 1000-1500g based on comparable 30x EO/IR gimbals.; Low - JOUAV publishes very limited public specifications for this product. Most specs require direct sales contact or datasheet request.,China,,,CMOS (visible light) + Uncooled microbolometer (thermal),,,,,,,,,,JOUAV CW-15 VTOL; JOUAV CW-25 VTOL; JOUAV CW-25E VTOL; Other JOUAV VTOL platforms,,Not publicly listed; quote-based pricing only,"Available through JOUAV direct sales and select distributors (e.g., AdrekDrones in Saudi Arabia, DroneLab in South Korea, PrecisionGPS in Mexico)","3-axis gyroscope-stabilized gimbal for jitter-free imagery; 30x optical zoom visible light camera; 640x512 uncooled thermal imaging sensor; Integrated laser rangefinder (LRF); AI-powered target tracking; Day and night reconnaissance capability; Designed for long-endurance VTOL drone operations; Lightweight compact form factor for fixed-wing VTOL integration; Dual EO/IR sensor fusion; Suitable for security, surveillance, search and rescue applications"
NextVision,NextVision X80,X80,40x,145,,False,True,"Exceeds 10x optical zoom (40x) and is well under 1000g (145g), but price is not publicly available and likely exceeds $10,000 given its defense/military market positioning. Cannot confirm price criteria.",False,True,3,unknown,2,1080p @ 30fps,https://nextvision-sys.com/cameras-cpt/x80/,NextVision is an Israeli defense company. The X80 is marketed to military and security customers with quote-based pricing. The 145g weight refers to the camera head; a full gimbal system variant weighs approximately 1.5kg. Stabilization range data sourced from Height Technologies product page. The X80 connects via Ethernet with MAVLink protocol per Auterion/PX4 integration documentation.,Israel,2x,80x,EO (CMOS) with optional IR/NIR,1920x1080,unknown (full system variant: 180 x 183 x 211 mm),12,unknown (contact manufacturer),-135 to +45 degrees,-165 to +165 degrees,-35 to +35 degrees,"Ethernet (IP streaming), MAVLink",MAVLink extended protocol,"Small UAVs and tactical platforms; integrated with DeltaQuad, Auterion Skynode-based systems, PX4/QGroundControl platforms",unknown (contact manufacturer),"Not publicly listed; quote-based pricing only. Contact nextvision-sys.com or authorized resellers (Height Technologies, Harris Aerial, BuckEye Cam).",Available through manufacturer and authorized resellers,Ultra-lightweight at only 145 grams; 80x continuous zoom (40x optical + 2x digital); Three EO lenses for flexible operation; Wide-area scanning HFOV 60 degrees to 0.75 degree DFOV; Onboard object tracking and recognition; Geolocation capability; Video compression and IP streaming; LTE connectivity option; License plate recognition; MicroSD card recording with GPS metadata; 24/7 day/night HD imaging
SIYI,SIYI ZR10 2K 4MP QHD 30X Hybrid 10X Optical Zoom Gimbal Camera,ZR10,10x,381,529.42,True,False,,False,True,3,1/2.7 inch,4,2560x1440 @ 30fps,https://shop.siyi.biz/products/siyi-zr10-gimbal-camera,,China,3x,30x hybrid,CMOS,2560x1440,121x101x78,"4W avg, 12W peak",11-25.2V (3S-6S),-135 to +45 deg,-160 to +160 deg,-30 to +30 deg,Ethernet,"S.Bus, UART, Ethernet UDP/TCP, Mavlink (ArduPilot & PX4 compatible)","UAV, UGV, USV, multirotors, VTOLs, robotic platforms (ArduPilot/PX4)",IP4X,shop.siyi.biz (official store),In Stock,HDR Starlight Night Vision; AI Smart Identify and Tracking; 320-degree yaw axis rotation; Angular vibration range ±0.01°; Nose mode and upside down mode; TF card recording
SIYI,SIYI ZR30 4K 8MP Ultra HD 180X Hybrid 30X Optical Gimbal Camera,ZR30,30x,628,1176.66,True,False,,False,True,3,1/2.7 inch,8,4096x2160 @ 25fps,https://shop.siyi.biz/products/zr30-4k-8mp-ultra-hd-180x-hybrid-30x-optical-gimbal-camera,,China,6x,180x hybrid,Sony CMOS,3840x2160,132x100x159 (including quick release board),"5W avg, 12W peak",11-25.2V (3S-6S),-90 to +25 deg,-270 to +270 deg,-45 to +45 deg,"Ethernet, Micro-HDMI","S.Bus, UART, Ethernet UDP/TCP, Mavlink (ArduPilot & PX4 compatible)","UAV, UGV, USV, multirotors, VTOLs, DJI Matrice 300/350 (ZR30-D variant)",IP4X,shop.siyi.biz (official store),In Stock,HDR Starlight Night Vision; AI Smart Identify and Tracking; 540-degree yaw axis rotation; Quick release structure; Angular vibration range ±0.01°; Simultaneous Ethernet and HDMI video output; Nose mode and upside down mode; 4K recording to TF card; Focal length 4.5-148.4mm
SIYI,SIYI ZT30 Optical Pod Four Sensors 4K 8MP 180X Hybrid 30X Optical Zoom Gimbal Camera,ZT30,30x,870,7354.86,True,False,,True,True,3,1/2.7 inch (zoom camera),8,"4096x2160 @ 30fps (zoom), 2560x1440 @ 30fps (wide angle)",https://shop.siyi.biz/products/siyi-zt30,,China,"6x (zoom camera), 2x (thermal camera)",180x hybrid (zoom camera),"Sony CMOS (zoom), uncooled VOx (thermal)","4096x2160 (zoom camera), 2560x1440 (wide angle)",182x140x134.5 (including quick release anti-vibration claw),"9W avg, 20W peak",11-25.2V (3S-6S),-90 to +25 deg,Limitless (continuous rotation),-45 to +45 deg,Ethernet,"S.Bus, UART, Ethernet UDP, Mavlink (ArduPilot & PX4 compatible)","UAV, UGV, USV, multirotors, VTOLs, DJI Matrice 300/350 (ZT30-D variant)",IP4X,shop.siyi.biz (official store),In Stock,"Four-sensor optical pod (zoom + thermal + wide angle + laser rangefinder); 640x512 thermal imaging sensor (19mm focal length, 30fps); 1200m laser rangefinder with 0.1m accuracy; 2K wide angle camera (4MP); Split image and synchronized zoom; AI Smart Identify and Tracking; Limitless yaw axis rotation; Angular vibration range ±0.01°; Quick release anti-vibration claw; Nose mode and upside down mode; Focal length 4.8-149mm (zoom camera); HDR Starlight Night Vision"
Skydroid,Skydroid C20,C20,22-23x (sources vary; marketed as both 22x and 23x),1000,379,True,False,,False,True,3,unknown,2,1080p @ 30fps,https://www.skydroid.xin,"Skydroid is based in Quanzhou, China and primarily makes RC controllers and accessories. The C20 weight is listed as 1.000 kg gross weight on Alibaba (this likely includes packaging; net weight may be lower but could not be confirmed from available sources). At 1000g gross weight, it is borderline for the under-1000g criteria -- the net weight of the gimbal itself may be under 1000g. The zoom is inconsistently listed as 22x and 23x across different sources. Night vision capability comes from a dual-sensor setup with an illumination spotlight rather than true infrared thermal imaging. The C20 is designed to work within the Skydroid ecosystem (H16/H30 controllers). It is marked as meets_criteria=true based on 22x+ optical zoom, likely under 1000g net weight, and price well under $10,000 ($379-$498). However, the weight criterion is marginal if gross weight equals net weight.",China,unknown,22-23x (optical only confirmed),CMOS image sensor,1920x1080,126.6 x 120.4 x 146 mm (L x W x H),,18V-72V (searchlight on draws up to 1A),-45 to +90 degrees,-100 to +100 degrees,-45 to +45 degrees,"Network cable (4-pin or 5-pin), serial control cable",Serial (proprietary Skydroid protocol),"Skydroid H16, H16 Pro, H30 controllers; agricultural drones, cargo drones, FPV platforms",unknown,Alibaba bulk pricing ($379 for 1-49 units); rc-wing.com lists $459; Amazon listing exists but price varies. Retail range approximately $379-$498 USD.,"Widely available through Alibaba, Amazon, rc-wing.com, arrishobby.com, eBay, and various drone parts retailers","Three-axis industrial-grade stabilization; Dual-sensor (visible + night vision); Zoomable high-brightness spotlight (6500K color temperature); Control accuracy of plus/minus 0.2 degrees; TF card storage (32GB included); Working temperature range -10C to 45C; Designed for police surveillance, power line inspection, search and rescue; Quick-release damper plate included"
SPI Corp,M2-D Micro Stabilized EO/IR Gimbal,M2-D,6.6x (EO channel); thermal channel also has optical zoom,160,5990,False,True,"Only 6.6x optical zoom (below 10x threshold). Weight 160g is excellent and well under 1000g. Price ~$5,990 is under $10,000. Misses on zoom only.",True,True,2,,,HD 1280x1080; also available in 660x520 and 388x288 configurations,https://www.x20.org/m2-d-stabilized-eo-ir-flir-uav-flir-thermal-camera-gimbal/,,USA,2x,13.2x (6.6x optical x 2x digital),BSI CMOS (EO visible) + LWIR UFPA 640x512 (thermal),1280x1080 (HD variant),65 x 92 mm,9,,,continuous,,,"SBUS, PWM adapters available","UAVs, UAS, sUAS, multicopters, UGV, marine applications",All-weather ruggedized (specific IP not published),"x20.org product page (long range 82X gyrostabilized gimbal variant listed at $5,990; base M2-D pricing may differ by configuration)",Available (commercial sales via x20.org),World's smallest thermal drone gimbal at 160g; Dual EO/IR channels with zoom on both; 640x512 ultra-sensitive thermal LWIR UFPA; Geo-reference tracking module; Advanced target tracking; All-weather ruggedized design; Operating temperature: -20C to +60C; Under 9W power consumption; Multiple resolution configurations available
"Topotek (Beijing) Technology Co., Ltd.",Topotek KIP10S4K,KIP10S4K,10x,375,1018,True,False,,False,False,3,unknown,8,3840x2160 (4K),https://topotek.com/KIP10S4K-4K-10X-Optical-zoom-3-Axis-Gimbal-IP-output-p4646820.html,,China,9x,90x,CMOS,3840x2160,unknown,,unknown,unknown,unknown,unknown,IP (Ethernet/RTSP),"UART, IP (TCP/UDP)",Universal UAV mount,,topotek.com official store,"Listed (marked sold out on official site, available via resellers)",4K network RTSP stream output; 8MP effective pixels; Local TF card FAT32 storage; 170ms low latency; High-precision encoder FOC control; Wireless transmission support
"Topotek (Beijing) Technology Co., Ltd.",Topotek KHY10S90 / KHY109,KHY10S90,10x,396,582,True,False,,False,False,3,"1/2.8""",2,1920x1080 (1080P),https://topotek.com/KHY10S90-10x-Optical-zoom-IRCUT-3-Axis-Gimbal-camera-IPHDMI-output-p4688404.html,,China,9x,90x,CMOS,1920x1080,unknown,5,3S or 6S (11.1V-22.2V),-45 to +120 degrees,-280 to +280 degrees,-45 to +45 degrees,"IP (Ethernet/RTSP), HDMI","UART, IP (TCP/UDP)",Universal UAV mount,,topotek.com official store,Listed (marked sold out on official site),IRCUT day/night filter; IP/HDMI dual output; High-precision encoder FOC control; Local TF card storage; UART and IP dual control modes
"Topotek (Beijing) Technology Co., Ltd.",Topotek SIP30S90,SIP30S90,30x,650,2231,True,False,,False,False,3,unknown,2,1920x1080 @ 30fps (1080P),https://topotek.com/SIP30S90-30-Optical-Zoom-Camera-3-axis-IP-Gimbal-p4646845.html,,China,,30x (optical only confirmed),CMOS (wide dynamic),1920x1080,unknown,7,3S or 6S (11.1V-22.2V),-40 to +110 degrees,360 degrees continuous,-85 to +85 degrees,IP (Ethernet/RTSP),"UART, IP (TCP/UDP)",Universal UAV mount,,topotek.com official store,"Listed (marked sold out on official site, KIP30S90 variant at $1926 on austars-model.com)",30x optical zoom; 4M low light solution; 170ms low latency RTSP stream; Local TF card storage; Dual video stream wireless transfer; One-click restore to initial position
"Topotek (Beijing) Technology Co., Ltd.",Topotek E40S48A645L30,E40S48A645L30,40x,,14038,False,True,"Price exceeds $10,000 ($14,038). Weight unknown but likely over 1000g given quad-sensor configuration.",True,False,3,unknown,48,unknown,https://topotek.com,,China,,40x (lossless zoom),CMOS,unknown (48MP sensor),unknown,,unknown,unknown,unknown,unknown,unknown,unknown,Universal UAV mount,,topotek.com official store,Listed on official site,40x lossless zoom; 48MP camera sensor; 640x512 thermal imaging; 3000m laser rangefinder; Four-sensor pod (quad-light)
Trillium Engineering,HD40-XV,HD40-XV,30x (EO-only variant); alternate variant: 10x EO + LWIR,840,,True,False,,False,True,2,,,720p HD (H.264),https://www.trilliumeng.com/gimbals/hd40,,USA,,"Up to 112x (hybrid, per manufacturer page)",HD CMOS visible camera; optional uncooled LWIR thermal,,98 x 151 mm,,24V regulated,,continuous,,H.264 digital video,,"Group 1, 2, and 3 UAS; multi-rotors and fixed-wing",Environmentally sealed (specific IP not published),"Defense/commercial product, pricing not publicly listed; contact sales@trilliumeng.com","Available (TRL 9, mission proven)",30x optical zoom (EO-only variant); Magnesium structure for light weight; GPS-aided INS for geopointing and geolocation; Electronic stabilization and scene tracking; Optional 850nm night vision compatible laser pointer; Compact 4-inch diameter
Trillium Engineering,HD40-LVV,HD40-LVV,"Dual visible cameras + HD LWIR, up to 180x hybrid zoom",750,,True,False,,True,True,2,,,720p HD (H.264),https://www.trilliumeng.com/gimbals/hd40-lvv,,USA,,180x (hybrid),Dual visible cameras + HD LWIR (long-wave infrared),,102 x 152 mm,,24V regulated,,continuous,,H.264 digital video,,"Group 1, 2, and 3 UAS; optimized for MRR, LRR, and Launched Effects",Environmentally sealed (specific IP not published),"Defense/commercial product, pricing not publicly listed; contact sales@trilliumeng.com",Available,"Dual visible cameras plus HD LWIR thermal; 180x hybrid zoom; 750g ultra-lightweight with thermal; GPS-aided INS for geopointing; Optimized for MRR, LRR, and Launched Effects platforms"
Trillium Engineering,HD25,HD25-XV / HD25-LV / HD25-LV-C,12x (EO); 3x zoom LWIR (LV variants),350,,False,True,Only 3x optical zoom on thermal and 12x on EO (meets 10x threshold on EO). Weight 350g is excellent. Near-miss because original user note says '3x near-miss' suggesting the 3x thermal zoom was the concern.,True,False,2,,,720p HD (H.264),https://www.trilliumeng.com/gimbals/hd25,,USA,,12x EO / 3x thermal,Visible camera + optional uncooled LWIR,,71 x 109 mm,,24V regulated,,continuous,,H.264 digital video,,Group 1 and 2 UAS; multi-rotors and hand-launched fixed-wing,Environmentally sealed (specific IP not published),"Defense/commercial product, pricing not publicly listed; contact sales@trilliumeng.com. Over 2,000 units sold as of 2023.","Available (TRL 9, mission proven, 2000+ units sold)","Only 2.5 inches diameter; 350g weight (XV/LV) or 390g (LV-C); GPS-aided INS for geopointing and geolocation; Electronic stabilization and scene tracking; Machined magnesium enclosure; Over 2,000 units sold"
UkrSpecSystems,USG-231,USG-231,30x,,,True,False,,False,False,2,,,1080p Full HD,https://ukrspecsystems.com/drone-gimbals/usg-231,,Ukraine,3x,90x (30x optical x 3x digital),Full HD Sony CMOS day camera,,,,,,continuous,,IP streaming (digital video),Compatible with Pixhawk family autopilots,Small fixed-wing and multirotor UAVs,,Pricing not publicly listed; contact UkrSpecSystems directly. Related model USG-251 is 350g suggesting competitive pricing for this segment.,Available,30x optical zoom + 3x digital zoom; Digital video stabilization; Anti-fog feature for humid conditions; Automatic target tracking; Lightweight mini camera gimbal; Observation range over 1000 meters; Plug-and-play turnkey solution
UkrSpecSystems,USG-231T,USG-231T,30x (EO channel),,,True,False,,True,True,2,,,1080p Full HD,https://ukrspecsystems.com/drone-gimbals/usg-231t,,Ukraine,,,Full HD day camera + thermal IR camera,,,,,,continuous,,IP streaming (digital video),Compatible with Pixhawk family autopilots,Small fixed-wing and multirotor UAVs,,Pricing not publicly listed; contact UkrSpecSystems directly,Available,Dual EO/IR sensor variant of USG-231; 30x optical zoom on EO channel; Thermal imaging for night operations; Digital video stabilization; Target tracking
UkrSpecSystems,USG-261,USG-261,10x,400,,True,False,,False,False,2,,,1080p Full HD,https://ukrspecsystems.com/drone-gimbals/usg-261,,Ukraine,,10x (optical only confirmed),Full HD CMOS camera,,,,,,continuous,,IP streaming (digital video),Compatible with Pixhawk family autopilots,Small fixed-wing and multirotor UAVs,,Pricing not publicly listed; contact UkrSpecSystems directly,Available (plug-and-play turnkey solution),10x zoom capability; Only 400 grams weight; Digital video stabilization; Target tracking; Anti-fog feature; Pixhawk compatible; Plug-and-play turnkey solution; Low power consumption
UXV Technologies,Optroxa GMB-450,GMB-450,18x,450,,False,True,"Exceeds 10x optical zoom (18x) and is well under 1000g (450g), but price is not publicly available. Described as 'about half competing gimbals' which could place it under $10,000 but cannot be confirmed.",True,True,2,unknown,3.1,"2048x1536 (RGB), 640x480 @ 60Hz (LWIR thermal)",https://www.uxvtechnologies.com/sensors/optroxa-gmb-450,"UXV Technologies is based in Copenhagen, Denmark. The GMB-450 is a defense-grade multi-sensor gimbal integrating RGB, LWIR thermal, and LRF in a 450g package. The 2-axis gimbal uses gas-filled direct-drive motors with continuous 360-degree rotation. It features an onboard NVIDIA Ampere GPU for edge AI processing. A datasheet PDF exists but detailed specs like dimensions, power consumption, and voltage are not available in public sources. Price is quote-based but positioned as roughly half the cost of competitors.",Denmark,10x,180x,RGB CMOS (global shutter) + LWIR thermal,2048x1536 (RGB),unknown (contact manufacturer),,unknown (contact manufacturer),continuous 360 degrees (direct-drive),continuous 360 degrees (direct-drive),N/A (2-axis gimbal),Multiple communication interfaces (details not publicly specified),unknown (contact manufacturer),Platform-agnostic; designed for small UAS defense applications,IP67,Not publicly listed; described as 'about half that of competing gimbals.' Contact sales@uxvtechnologies.com for pricing.,Available through UXV Technologies directly,"Ultra-light at 450 grams with multi-sensor payload; Built-in Laser Range Finder (LRF); 640x480 LWIR thermal sensor at up to 60 Hz; RGB camera with global shutter; IP67 and MIL-STD-810H rated; Gas-filled direct-drive rotation on yaw and pitch axes; Absolute encoders for precise motion control; Onboard NVIDIA Ampere GPU (1024 CUDA cores, 16GB RAM, 32 Tensor Cores); Edge AI and advanced onboard analytics; Onboard video processor for mission-critical image processing"
Viewpro,Viewpro Z10F 10x Optical Zoom Gimbal Camera,Z10F,10x,395,936.0,True,False,,False,False,3,"1/2.8""",4.0,"1080p 30fps (onboard recording), 1080p 60fps (HDMI output)",https://www.viewproonline.com/products/z10f-10x-optical-zoom-gimbal-camera,,China,,10x,CMOS,2688x1520,,3.85,"3S~4S (11.1V~14.8V), working voltage 12V",,,,"Micro HDMI (1080p 60fps), CVBS analog","PWM, UART (TTL), TCP/UDP",Universal (custom integration),,Austars-Model.com,In stock (reseller),Lightest in Viewpro lineup at 395g; 4MP effective pixels; Low power consumption (3.85W); Horizontal FOV 53.2 to 5.65 degrees; Focal length 4.9mm-49mm; Dynamic range 65dB; Onboard TF card recording
Viewpro,Viewpro Q10N 10x Optical Zoom Gimbal Camera,Q10N,10x,506,1299.0,True,False,,False,True,3,"1/3""",2.48,1080p 30fps,https://www.viewproonline.com/products/q10e-10x-optical-zoom-gimbal-camera,,China,,10x,CMOS,1920x1080,91.6 x 111.4 x 143.1,,"4S~6S (16V~24V), working voltage 16V",+-120 degrees (estimated from Q10F),+-360 degrees continuous,+-70 degrees (estimated from Q10F),"IP (default 720p), onboard TF card recording","PWM, Serial TTL, TCP",Universal (custom integration),,RCDrone.top (sold out listing),Limited / sold out at some resellers,ICR day/night switching; 360 degree continuous yaw rotation; Ultra-low illumination 0.05lux@F1.6; Wide dynamic range 105dB; Focal length 4.9mm-49mm; Onboard TF card recording; Viewport quick-release version available (560g)
Viewpro,Viewpro Q30T Pro II 30x Optical Zoom Object Tracking Gimbal Camera,Q30T Pro II,30x,720,4629.0,True,False,,False,False,3,"1/2.8""",2.13,1080p,https://www.viewproonline.com/products/q30t-pro-ii-30x-optical-zoom-object-tracking-gimbal-camera,,China,,30x,SONY Exmor R CMOS,1920x1080,147 x 121 x 154.8,7.8,"3S~6S, working voltage 12V",,360 degrees continuous,,"SDI (default), Micro HDMI, IP (RTSP/UDP)","PWM, UART, S.BUS, TCP/UDP",Universal (custom integration),,Austars-Model.com,In stock (reseller),Object tracking capability; 30x optical zoom with fast auto-focus; SDI output (default); Observation range up to 500m; 360 degree continuous yaw; FOC-based 3-axis stabilization; Lightweight 720g for 30x zoom class
Viewpro,Viewpro A20KT-19 4K 20x Zoom EO + 19mm Thermal Gimbal Camera,A20KT-19,20x,,,False,True,"Weight and price not publicly available to verify criteria. Has thermal sensor (dual-sensor design) which adds weight/cost. Likely exceeds 1000g given dual-sensor configuration, but cannot confirm.",True,False,3,"1/2.5""",8.51,4K (3840x2160),https://www.viewprotech.com/index.php?ac=article&at=read&did=638,,China,,20x,CMOS,3840x2160,,16.0,"4S~6S (14.8V~25.2V), working voltage 16V",,,,"Micro HDMI (1080p 30/60fps), IP (RTSP/UDP 4K/1080p/720p 30fps)","PWM, UART, S.BUS, TCP/UDP",Universal (custom integration),,Not publicly listed; contact manufacturer for quote,Available (contact for pricing),"4K EO sensor with 20x optical zoom; 640x512 thermal imager (19mm lens, 30Hz); AI-based human/vehicle detection; Object tracking; Onboard SD card storage up to 256GB; Dual-sensor (EO + thermal)"
Viewpro,Viewpro Q40TIR 4K 40x Zoom 50mm IR Thermal Dual-Sensor Tracking Gimbal Camera,Q40TIR,20x,,,False,True,"Optical zoom is 20x (meets 10x+ criterion), but net weight not publicly available. Gross/package weight is 3927g suggesting a heavy unit likely well over 1000g. Dual-sensor thermal design adds significant weight. Price also not publicly listed but expected to be in the $5000-$8000+ range for this class. The related Q40TIRM-HD weighs 1512g, suggesting Q40TIR is similar or heavier.",True,False,3,,25.9,4K,https://www.viewproonline.com/products/q40tir,,China,40x (IA zoom / intelligent zoom),40x,CMOS,3840x2160 (4K),,,,,,,,,"Universal (custom integration, suited for heavy-lift drones)",,Not publicly listed; contact manufacturer for quote,Available (contact for pricing),20x optical / 40x intelligent zoom; 25.9MP sensor for 4K video; 50mm 640x480 thermal imager; Dual-sensor (EO + thermal); Object tracking; Observation range up to 500m; High stabilization accuracy +-0.01 degrees; FOC-based motor technology
Viewpro,Viewpro A40 Pro 40x Optical Zoom AI Tracking 3-axis Gimbal Camera,A40 Pro,40x,1074,1699.0,False,True,"Weight is 1074g, exceeding the 1000g limit by 74g. Meets all other criteria (40x optical zoom, $1699 price). Very close miss on weight.",False,False,3,"1/2.8""",2.13,1080p,https://www.viewproonline.com/products/a40-pro-40x-optical-zoom-ai-tracking-3axis-gimbal-camera,,China,,40x,SONY CMOS,1920x1080,134.5 x 118 x 197.7 (standard) / 134.5 x 118 x 203.4 (viewport),,"4S~6S, working voltage 16V",,360 degrees continuous,,Onboard storage up to 128GB,"PWM, UART, TCP/UDP",Universal (custom integration),,Austars-Model.com,In stock (reseller),40x optical zoom (highest single-sensor optical zoom in lineup); AI detection and object tracking; 360 degree continuous yaw; Metal ball housing for anti-interference; Viewport plug and play; KLV metadata output; HTTP read TF card online; Point camera here on 3D map
Viewsheen,Viewsheen 30X 4K 8MP 3-Axis Stabilization Drone Gimbal Camera,UAP3030S8,30x,842,,True,False,,False,True,3,"1/1.8""",8,3840x2160@30fps,https://www.viewsheen.com/30x-4k-3-axis-stabilization-drone-gimbal-camera-product/,Weight confirmed from multiple sources. Price not publicly listed (OEM model). Sensor details partially inferred from camera module specs.,China,4x,120x,"Sony 1/1.8"" Exmor R CMOS",3840x2160,96x79x120,8.4,12V-25V DC,,,,Ethernet (RTSP),"Serial (CAN), Ethernet",OEM/ODM - compatible with various platforms,,OEM/ODM pricing - quote required from manufacturer,Available - contact manufacturer for quote,4K 8MP resolution; 30x optical zoom; 3-axis stabilization with ±0.008° precision; Micro SD card recording; Ethernet RTSP video output; Operating temperature -10°C to 60°C; Lightweight 842g design; OEM/ODM customization available
Viewsheen,Viewsheen 30X 2MP + 640 Thermal Dual Sensor 3-Axis Drone Gimbal Camera,UAP2030TST6,30x,970,,True,False,,True,True,3,"1/2.8"" (visible)",2,1920x1080@30fps,https://www.viewsheen.com/best-quality-4k-zoom-gimbal-camera-30x-2mp-and-640-thermal-dual-sensor-3-axis-stabilization-drone-gimbal-camera-viewsheen-product/,Weight and dimensions confirmed from manufacturer website. Price not publicly listed.,China,,,"1/2.8"" CMOS (visible) + Uncooled VOx (thermal)",1920x1080,166x115x184,8.4,12V-25V DC,,,,Ethernet (RTSP),"Serial (CAN), Ethernet",OEM/ODM - compatible with various platforms,,OEM/ODM pricing - quote required from manufacturer,Available - contact manufacturer for quote,Dual sensor: visible + thermal; 30x optical zoom; 640x480 thermal imaging; 3-axis stabilization with ±0.008° precision; Micro SD card recording; Ethernet RTSP video output; Under 1000g with thermal sensor
Viewsheen,Viewsheen 3.5X 4K 8MP Mini 3-Axis Drone Gimbal Camera,,3.5x,275,,False,True,"Only 3.5x optical zoom, below the 10x minimum requirement",False,False,3,,8,3840x2160@30fps,https://www.viewsheen.com/super-lowest-price-infrared-camera-module-3-5x-4k-8mp-mini-3-axis-stabilization-drone-gimbal-camera-viewsheen-product/,,China,,,CMOS,3840x2160,,6.0,12V-25V DC,,,,,,OEM/ODM - small drones,,OEM/ODM pricing - quote required from manufacturer,Available - contact manufacturer for quote,Ultra-lightweight at 275g; 4K 8MP resolution; Very low power consumption (6W); Mini form factor for small drones
"Xingkai Technology (Shenzhen Xingkai Technology Co., Ltd.)",Xingkai 20X Starlight Night Vision 3-Axis IP Gimbal Camera,XK-F510rs,20x,,,True,False,,False,True,3,,,1920x1080 (1080P),https://xingkaitech.com/gimbal-camera/,"Low - weight, sensor details, dimensions, power, and price not found in any public source. Only basic feature descriptions available.",China,,,Starlight CMOS,,,,,,,,IP (RTSP),"Serial, Network",Various UAV platforms,,Not publicly listed - contact manufacturer or check Made-in-China.com,Available - contact manufacturer,20x optical zoom; Starlight night vision (full color in low light); 3-axis stabilized gimbal; 1080P RTSP video stream output; TF card local recording; IP network output
"Xingkai Technology (Shenzhen Xingkai Technology Co., Ltd.)",Xingkai 10X Optical Zoom Dual Light 3-Axis Gimbal Camera with Thermal,XK-FG100,10x,434,,True,False,,True,True,3,,4,1080P,https://xingkaitech.en.made-in-china.com/product/OEnpIuPMXZke/China-Gimbal-Camera-Manufacturer-Xk-Fg100-10X-Optical-Zoom-IP-HDMI-Small-Dual-Light-3-Axis-Gimbal-Camera-Thermal-Drone-Camera.html,Medium - weight confirmed from Made-in-China listing and manufacturer. Sensor specs confirmed. Price and dimensions not publicly available.,China,,,Low illumination CMOS (visible) + Vanadium Oxide uncooled (thermal),,,,,,,,IP (RTSP) / HDMI dual output,"Serial port, Network",Various UAV platforms,,Not publicly listed - contact manufacturer or check Made-in-China.com listing,Available via Made-in-China.com and direct from manufacturer,Dual sensor: visible + thermal imaging; 10x optical zoom; 256x192 thermal resolution with vanadium oxide detector; IP/HDMI dual output; High-precision encoder FOC gimbal control; TF card two-way video recording and photography; Picture-in-picture mode switching; Multiple pseudo color display for thermal; Global temperature measurement capability; Very lightweight at 434g with thermal; Working temperature: -10°C to +45°C
